language,proverb_native_script,romanized_as_extracted,literal_translation,figurative_meaning
Assamese,"ভাৰীক নেৰে ভাৰে, জাবৰক নেৰে পাচল খাৰে","Bharik nere bhare, jabarak nere pachala khare.","The burden does not leave the porter's back, and potash (salt) does not leave the vegetables.","The above means that a porter cannot earn his livelihood with- out carrying loads, and vegetables cannot be eaten without salt. t5Tl tta (pachala khar) = potash obtained by burning plantain trees. In olden days potash, so obtained, was eaten in place of salt, which was not readily procurable. %R$ (jabara) = greens boiled without salt."
Assamese,"জনাৰ ভাত মাছ, নজনাৰ সেয়ে কালগ্ৰহ",Jandr bhat mach najanar sheiye kalagrah.,"What is cooked rice and fish to the learned, is an insurmountable difficulty to the unlearned.",
Assamese,"দহো আঙুলিৰে খাই, বুঢ়াই হেঁচুকিলেহে যায়","Daho angulire khai, Burai hechukilehe jai.","All the ten fingers are used in eating, But it is the thumb that has to push the eatables into the mouth. The Assamese takes up the rice in the hollow of his hand, and then crams it into his mouth, using the thumb to push it in — not a very elegant way of eating. Wl— ftf1 (the chief finger).",116. Many hands make light work. Dahota lakhuti etar bojha. The staves of ten menjarea load to one man.
Assamese,"তাহানিয়ে খালে টেঙা, এতিয়া পালেহি জেঙা","Taha niye khale tenga, Etiya palehi jenga.","He ate the tenga a long time ago, And he is blamed now!","The proverb refers to the case of a man wrhose sin has found out. He stole the orange and ate it long ago, and he gets into hot water about it now! means an offence, anything at which exception is taken 112. Meum and tuum Tor hale mor, mor hale bapereo na pai tor."
Assamese,কুকুৰে জানে কি তাম তুলসী,(. SftFT fV Kukure jane ki tarn tulsi.,"What does a dog know of the value of copper vessels or of the ei tulsi? When a Hindu worships his god, he dedicates to him leaves of tulsi in a copper vessel. The tulsi is the Ocymum sanc- tum or holy basil.","cf, — Bihar proverb:Can a monkey appreciate ginger? also Telegu proverb: What can a pig do with a rose bottle? The 14a March 1895."
Assamese,"যাৰ খাবৰ জীবৰ মন, বহোতে আঁচোৰে বন","Jar khabar jibar man, Bahote achore ban.","He who has a mind to thrive, Scratches up grass, even when sitting down.","I'T literally, the mind for eating and living. The proverb means that people who wish to succeed, should never waste a moment, which may be devoted to work. The grass referred to is that growing in the man's garden or field."
Assamese,"টোপনিৰ চিকন পুৱা, কটাৰীৰ চিকন গুৱা",Topanir chikan puu. Katarir chikan gua.,To sleep in the early morning is pleasant. A good knife is required to cut betelnut.,This proverb is characteristic of the Assamese.
Assamese,"হাড় নাই কিয়া জিভা, কয় কিবা কিবা","Har nai kiya jiba, Koy kiba kiba.","The tongue because it has no bone, Says various things. A poor excuse made by a man when he says more than he ought. He does not admit the blame, but throws it on his tongue, which, he says, is easily pliable, because it is unsupported by bone.","cf. — The modern Greek proverb (translation). — The tongue has no bones, yet it breaks bones, and also the Turkish proverb (translation) — The tongue has no bone, yet it crushes."
Assamese,"সাত পুৰুষত নাই গাই, কৰীয়া লৈ খীৰাবলৈ যায়","Shat purushat nai gai, Kariya loi khirabaloi jai.","His family had no cow for seven generations, But he takes a kariyd and goes a milking.","The proverb means that the man's forefathers were too pool4 to be able to keep any cows; but when he gets one cow, he makes a great show of going to milk with a kariya or milkpan. %1 is really a bamboo chunga. The bamboo is cut about a foot above a joint, and the hollow portion inside serves to hold the liquid. Milk is generally carried in such chungaa, and they are generally used for milking."
Assamese,"যুঁজিবলৈ আহিলে মাল, দুই হাতে ছিঙিলে বাল","Jujhibaloi ahile mal, Dui hate singile bal.","He came to fight in all his strength, But he only broke one hair (of his adversary).",This proverb applies to the man who is over-conceited about his capabilities. The word rf«T (mdl) more properly means a boxer or wrestler. 10. Counting one's chickens before they are hatched — Discontent and
Assamese,ধান পুৰীয়া কঠাল পাতৰ তলতে লুকাল,Dhan puriya kathal patar talate lukal.,"The biggest jack fruit of all, i.e., that one worth a purd of dhan,",lay hidden underneath the leaves. This proverb is applied to those who hide their light under a bushel. This proverb should more properly have come under Class I or Class II.
Assamese,"নকলেও নোৱাৰো ফটা মুখ, কলেও লাগে ভকতৰ দোষ","Nakaleo noawro phata mukh, Kaleo lage bhakatar dosh.","There is an opening in the mouth, and I can't help speaking. If I do speak, the blame will fall on the bhakat.",A very lame excuse. N» (bhakat) means a disciple of a gosain or priest.
Assamese,নকটা খেৰৰ ন ছা,Nakata kherar na sha. Uncut grass has nine bodies.,"The longer a man puts off cutting his c (kher) or thatching- grass, the greater does the task appear, and the longer the grass becomes, the harder it is to cut.",
Assamese,"বাল চিঙোতে মহ মাৰিল, মই বোলো মহা ৰণতহে পৰিল","Bal chingote moha maril, Moi bolo maha ranat he paril.","In scratching a mosquito was killed, I say it fell in a severe engagement.",
Assamese,"হাতত নাই বিত, মনে কৰে পিত পিত",Hatat nal bit Mane kare pit pit.,"He has no money in hand, But his cravings are great.","f5 literally gall, bile, f literally wealth, substance."
Assamese,"লোকৰ সভালৈ যাবা, আমাৰ দিয়ন খোৱন চাবা",Lokar shabhaloi jaba. Amar diyan khoan chaba.,"Go to a gathering at some one else's house, (And then) see my liberality.",
Assamese,"কণা, খোৰা, ভেঙুৰ, এই তিনি হাৰামৰ লেঙুৰ","Kana, khora, bhengur, Ei tini haramar lengur.","The one-eyed, the lame, and the crooked, These three are a tail of ill. There are various Indian proverbs regarding one-eyed, squint- eved and grey-eyed people being untrustworthy, so that the Assam- ese are not alone in their idea. Christian gives the following proverbs, amongst others, in his Bihar 1'roverbs: —","(Birle kdn bhal bhal manukh), i.e., Barely do you rrieet with a one-eyed man who is a gentleman. Also the following Urdu saying on the same subject, where a forced pun is made on the Arabic word kan = is:"
Assamese,"কাকো দেখি ৰান্ধে বাৰে, কাকো দেখি দুৱাৰ বান্ধে","Kako dekhi randhe bare, Kako dekhi duwr bandhe.","When (the host) sees some people, he cooks and serves them (a meal), And when he sees others, he bars the door.",
Assamese,"তেলীয়াই কান্দে তেল পেলাই, কপাহুৱাই কান্দে লেট পেটাই",Teliyai kande tel pelai. Kapuhawai kande let petai.,The oil-seller weeps for the oil that is spilt. The cotton-dealer weeps and soaks (his cotton in the tears).,"The cotton-dealer is not a man like the oilman, who cries over spilt milk, but finds a way out of the difficulty. The latter part of the proverb, perhaps, refers to a practice which came under my personal observation when in the Goldghat subdivision. The cot- ton is brought down from the hills by Kagas or other hillmen, who almost invariably soak it in water, or even sometimes put stones inside the bundle, to make the cotton weigh heavier. The cotton-dealer, who is not to be outdone, soaks the salt, which is generally bartered for the cotton, in water for the same reason. The translation I have given for c?n? cftt although n:t strictly literal, conveys the meaning, which is meant to be a sarcasm on the dealings of these cotton merchants, c5 Ct more correctly means having plastered."
Assamese,"ককালত কাঁচি, বুঢ়ী ফুৰে নাচি",Kakalat kachi ' Buri phure ndchi.,"When the old woman has found her sickle, She dances for joy.",
Assamese,"কাকো নুবুলিবা ককা, এটাইৰে দাড়ি চুলি পকা","Kako nubuliba kaka,",Etaire dari chuli paka. Don't call anyone (of them) grandfather; They have all of them got white hair and beards.,"The proverb means that all are equally cunning, and that one must not single out any particular person and call him 1, a clever old fellow. tTl literally means ripe, as a fruit. It so comes to'mean mature, and when applied to the hair of the head or face turned gray, or of a mature colour. It is interesting to compare a Bihar proverb given by Christian in his Bihar Proverbs, which means very much the same as the Assam proverb above: Kekar kekar lihi(n) nao(n) kamra orhle sagare gao(n)."
Assamese,"চোৰক মোৰে পালে, তাঁতীক বৰলে খালে","Chorak more pale, Ta(n)tik barale khale.","The thief was seized with colic, And a wasp stung the weaver. Both of these are intended to be instances of sudden and unexpected mishap.",
Assamese,"ঘোক বাই ঘোক, সাপে খালে তোক, মাছটি পালে মোক","Ghok bai ghok shape khale tok, Machti pale mok.","Ghok, sister Ghok, a snake has bitten you, And I have caught a fish.",This is said in chaff by one girl fishing to another likewise engaged.
Assamese,"ঘোঁৰাক চিনি কাণত, তিৰীক চিনি ঠানত, খুৰক চিনি শালত","Ghorak chini kanat, Tirik chini thanat, Khurak chini shalat.","A horse is known by his ears, A woman in times of adversity, And a razor on a whetstone. The idea here is that a good horse keeps his ears erect; a virtuous wife will be faithful in adversity, and a good razor does","not break on the whetstone. As to the faithfulness of women, horses, etc., cf. the Persian proverb: — Asp o zan o shamsher-i-tez wafadar ke did. What man ever saw a horse, a woman, Or a sword faithful! fr (khur) (or khyur) is the usual word for razor. W is here used to mean a grindstone. Shal is applied to almost any machine, e.g., lWWtT (kuhiyar shal), a sugar-mill."
Hindi,छछूंदर के सिर में चमेली का तेल,ChhachhilAdar he sir meA cAaAAefl kd tel.,Oil of jasmine on tho head of the musk-rat.,Snid of a worthleu swaggerer.
Hindi,चाँद का टुकड़ा,Chdtvl kd tiikrd.,"A part of tho moon, v",Very lu iglit and Nliining.
Hindi,चाँद चढ़ा सब ने देखा,Chdiid charhfi hU cltam (h JJhe.,All the world can sc(i the moon lu the sky.,"Jh niile Ob, rhunde m.fihtOb. Fair as tiie muon, and Liight as the nuii. ClMud gahan wrii chahki ralul hi lyA hdm f What has the mill stone dresser to do at an eclipse of'tho mooni Uu » nt'ver empluyu at that season."
Hindi,"चम्पा के दस फूल, चमेली की एक कली","Champd he das phOt, ehadhdi Id eh hati,",A bud of jasmine is better than ten flowers of thampd. An hour with a clever man is betLer than the whole night with a foot,Better fifty years of Europe than a cycle of Cathay.
Hindi,बुड़बक की जोरू सब की भौजाई,Burbak ki Jord sab kl bkaujdi.,"A fool’s wife is every body’s sister-in-law,",le. any body may flirt with her.
Hindi,"बिपत पड़ी जब भेंट मानी, बिपत टली जब मुकर गया","MiptU pari jab bhef mondl, mnkar gnpd jab","When the trouble was on bins he made a vow, when the trouble passed he denied it",When the devil was sick tbs devil a saint would be. When the devil got woU the devil a saint was he.
Hindi,बनिये का बहकाया और जोगी का फिटकारा,"Baniye kd bahkdyS, aur jogi kd pkitkdrd.",From the Bany&’s guile and the saint’s curso,there is no escape).
Hindi,"आप को फजीहत, गैर को नसीहत","Ajt ho fatihal, gair ho nasihat.",Vicious yourself you preach to others.,Practise what you prescU.
Hindi,"छींकते गए, झींकते आए","ChhUkkb! gag, jhitUe dg.",He went siioeaing and oame back weeping.,Allusion to the widespread notion of the ilMuek of sneasing Wore starting on a jouruey.
Hindi,भूखे हो तो हरे हरे रूख देखो,BJiuke ho- to hare hare rtUth dekhOi,If you are hungry look at the green trees.,Put into the noouth of a mieer who never knowe anything of poraona in diatreaa
Hindi,बत्तीस दाँतों की बात खाली नहीं जाती,Bamt ddit Ai bhMd khiti nahii jid.,The words of thirty-two teeth will never foil,The promiHeo of those in the priam of adult life are not lightly mada
Hindi,"बात रह जाती है, वक़्त निकल जाता है","Bit roA jdfl Aoe, vaqt nikaH jild hai.","The promise remains, but time flies away.",This is said by a man who is disappointed in not meeting with that aaaiataaee from another wh he had reason to eapoet.
Hindi,"बारह बरस दिल्ली में रहे, भाड़ ही झोंका",Bdrah barue Diffl men rake bhdr hi Jhadeu.,Twelve years in Dehll and only a fireman!,For parching grain. Well b to evil wed.
Hindi,बामन का बेटा बावन बरस तक बौरा,Bdman kd beCA bdvan barae tak baukgd.,A Brkhinau's son is a fool for fifty two yearn.,Allusion to tho habit of tbs oasts of living on alms
Hindi,"छोटी सी बछिया, बड़ी सी हत्या","CKhnt si hachhyd, bofl H hatlyd.",The is small but the sin is great,Am well be hanged for a sheep sa a lamb.
Hindi,"घोड़े मर गए, गधों को राज आया","Ghort mar gae, gadhan ho rdj dyd.","When the huritea are dead, the afiaes rule.",The wiae are deed aqd foola flonriah.
Hindi,"चोर ले, न साध पूछे","Chor le, n d sddhd pdche.",When a thief steals ho does not enquire if,his victim) be a saint.
Hindi,"कब के बनिया, कब के सेठ?","Kab ke banyd, kab he ee f","Teeterday a grooer,to-day a merchant prince 1",Said of en npetart
Hindi,कब दादा मरेंगे और कब बैल बँटेंगे?,Kab dddd marenge aur kah hel haigt t,"When will the grandsire die, and when will the funeral gifts be madef",Waiting for the dead man’e ehoee.
Hindi,"जितनी चादर देखो, उतने ही पाँव पसारो","JiM ehddar dekho, Mine hi pdod peudm.",Stretch your legs according to your coverlet.,Cotyonr eoaiaooording to your cloth.
Hindi,"झगड़ा झूठा, क़ब्ज़ा सच्चा","Jhagfd jhdtd, qabtd eaehdtd.","Litigation is wrong, possession is right. I",Poaaaaaion ia nine pointa of the law.
Hindi,"जनम के दुखिया, नाम सदासुख",Janam ke dttkhiga nam Saddsukk.,Wretched from hirth and called Fortunate.,"Said wli,oi penury at home affects the appear ance of wciilth abroad."
Hindi,"हर रोज़ ईद नहीं, कि हलवा खाए बैठे","Har rot Id nett, ki halvd khurad hate. Pen.","Everyday is not Id, that one may eat cakes.",There ia a time for oveiy thing.
Hindi,च्यूंटी के घर नित मातम,Chinfi ke ghar nil meUam. nest.,There is perpetual mourning in an ant’s,They are always being killed.
Hindi,आन के धन पर लक्ष्मी नारायण,"Anhar Hhan par Laehhmi Nardyan,",On another’s wealth he is Ijaohhml Nkriyan.,Maater of wealth.
Hindi,गधा घोड़ा एक भाव?,Gadhd ghord eh bhdo!,What t the same price fora hone and an aea I,8sM to a ciiiAm who appraisw a anpsrior artids at the some price w thcinlwior one.
Hindi,"दुख भरे बी फ़ाख़्ता, फल खाए कौवा","DuUt bftareh Bi FAkhtd, Katmd mm hkdi.","The Lady Dove has all the paine, and the Crow eata up the fruit",One boate the bosh and aaatker eatehstb the birds: the cat’s paw.
Hindi,दूध में की मक्खी किस ने चक्खी?,Dddh meh H makkhi kia ne ehakkhx t,Who would ever taste the fly in the milk f,Hindris throw awi nny fo in which they may And a dead fly.
Hindi,"दूध का दूध, पानी का पानी",Dddh kd dddhf jfdni hd jCni. itself.,"The milk is by itself, and water is by",He eeparatea the truth fnini falsehood. A pbraae uaed to exi)ieHH just decision and
Hindi,धी बहू अपने घर भली,"Dhf bail apna ghar bhati, Hin. Worn.",Daughters are best in their own'iwasos.,i. e. tbsir husbands' honass.
Hindi,"चूहा बिल में समाता न था, कमर में छाज बाँधा","Chuhd bll inch samdtd aa thd, kan-td bddhd",Thu rat was already unable to enter his hole and he tied a winnowing fun to his ears.,A sarcasm aimed at thow whueuter intu ex travagant marriages.
Hindi,गले पड़ी बजाए सिद्ध,"Gale pofi, hajde siddh.",Whtn joa hare to do it make the best of it.,To maka tha boat of a bad bargiun.
Hindi,आदमी है या आबनूस का कुंदा?,Adnn hai yd dhuda kd kundnh t,Is he a man or a block of ebony 1,S.'iid of A negro.
Hindi,खाली हाथ क्या जाऊँ? एक संदेसा लेते जाऊँ,Khali Itdih kyd jdun f Kk sandeta Ittd jddd.,How can I go empty handed 1 Let me at,Allusion to the natives' trick of never saying straight out wliat they want: to beat about the bush.
Hindi,अभी सेर में एक पूनी भी नहीं कती है,Abkl ser mek pint bhi naJvik kati hai.,Of the pound of cotton not a skein ii yet sp jn.,Scarce a fraction of the work is yet done.
Hindi,"करनी ख़ाक की, बात लाख की","Kami kkdk ki, bdt Idkh kf.",His deeds as dust; bis speech of thousands.,Words withoat deeds are like a garden fall of weeds.
Hindi,आम खाए या पेड़ गिने?,Am thdae yd pef giane t,Will you eat the mangoes or count the trees 1,"We should eajiiy the good things that are preMnted to ua, without pusxling oiuselvee with fruitleee enquiriee about tliein."
Marathi,भरल्या गाड्यास सूप जड नाही,Bliaralya gadyasa Bupa zada naht,A corn-fan is not heavy in a loaded cart.,"Its weight is bo trivial it makes not the slightest difieieoce. One in great tronble does not feel trifles. Lankadaci adholl moa khandokhandi phodali tara eka bbakarahl bhSaoara nahi The tteo-eeer wooden measure will measure cart-loads grain, but if broken up will not bake even one loaf."
Marathi,काळीवर नाही शेत व पांढरीवर नाही घर,Kalivara nabi feta va paiidbarivara nahi gbara,"No field on the hlack soil, no house on the white.",Black soil is of course best for cultivation.
Marathi,कुणब्याला जो म्हणेल आपा त्याचा गाढव बापा,"KunabyS,la zo mhanela apa tyatsa gadhava bapa",He tcAo says a hunbi ts devoted to him is a donkey.,"Becaose, as soon ae the kunhi can do without hie help, he will have nothing to do with Mm."
Marathi,खोरे माती आपल्याकडे उपसते,Khore mat! apalyakade upasate,A hoe dratet toil tovardt tit.,Used where a man is working for selfish ends.
Marathi,बांगी रंगली देठी पिकली,Bangi rangall dethi pikali,"It haa come to per/ectioK, it U ripe on the stem.",The figure of a chili which when red ia ripe. Applied to that which has come to maturity.
Marathi,जळते घर भाड्याने व जुने जोंधळे कढ्याने घेऊ नये,Zalata ghara bhadyane va zune zondhale kadhyane,gheu naye Do not hire a burning house and do not take old zondAale witA a promise to pay back in kind.,It is usual to pay back one and a quarter or one and a half measure for every measure borrowed. To pay new grain for old in this way would be foolish. Digitized ByGOOgle
Marathi,आपला हात जगन्नाथ,Apal'a bata jagannatha,Ow own arm w our god.,
Marathi,केस उपटल्याने काय मढे हलके होते,Kesa upatalyane kaya madhe halake bote,"Will a corpse he lighter if its hair be pulled out? 357 vtunf Sfi Trani' 'ftirnr tht Tnft Konatse tofida tsalate konatsa bata tsalato One man's mouth it effective, another m/in's hand, i.e. in getting work done either \j speaking 01 by beating. gmzedbyGOOgle 50 MA RAT HI PROVERBS 358 MI-MF qft'ffif TIT tZt TfT Kbarya khotyatiiadhye cara botntse antara There it a difference o/fourjiaere'Jtreadtk between truth aWL false hood, i. e. between the eye (seeing) and the ear (hearing'). 382. 359 miTQi rrntH?if r Kharya panyaiita tofida dbuuna ye Come hack after washing your mouth in salt water.","To put off, to refuse a request Khodyanta paya ghalavayaaa yeto kadhavayasa paravauagl lagate One can get one's feet into the stocks but to get them out again requires permission."
Marathi,चामडी जावे पण दमडी न जावे,Camadi zave pana daraadi na zave,"My skin may go but not a farthing, A miser.",
Marathi,चामडी फाटे वस्त्र ना फाटे,Camadi phate vastra na phate,"Tour skin may tear but this cloth will not. 365 ICTTnraS ff IjH1«lcfc Cane ekazavala va data dusaryazavala Ojte has the grain another the teeth. 20, 366 TtraTTT Wira TT HtT TZ WHI H Taalaoaia totida ya&\ pana vata zaSitsi tail The walker jpants but the road remains as it was.",Servant and master. gmzedbyGOOgle
Marathi,जेथे नखाने काम तेथे कुऱ्हाड लावणे,Jethe Tiakba Dako tetbe kurhada lavane,To use an axe where a finger-nail even w not necessary. 374 WT% tff WT% TTT Jyatse data tyatse gbaSilnta (70 thrust) a man's teeth down his own throat. 375 wrr% wnpRcnr iftr 'ft aet Jyatse managatanta zora to bajl He who has strength in his wrist is mighty. 330. gmzedbyGOOgle 52 MARATHI PROVERBS Zbankfjl mittha savra lakhfici A doted jUt i» the fiit of a miUioTtaire.,Keep a qaiet toDg:ae and you will be considered wise. To the above may be added vghatja mu(6a phvkddi (an open fiat ie a begr'e).
Marathi,डोळ्याचे ते खरे कानाचे ते खोटे,Polvatae te kbare kanatse te khote,"The testimony) of the eye it true, of the ear it/alte. 358. 383 VtboEliTI Zmi( Polyaiita dbula takaue To throK dust in a person's eyes. 384 pf TnfT vnz iff Trapr fzasr Dhungapa pabuna pata tonda pabiina tila A ttool according to the buttocks; a forehead-mark according to the Digitized ByGOOgle",
Marathi,इळा आणि भोपळा,Ila ani bhopala,The sickle and the gourd.,"Applied to man and wife, master and servant,"
Marathi,दोन दगडांवर पाय ठेवू नये,Dona dagadavara paya theu naye,Do not put your feet on two stonet.,
Marathi,प्रेत झाकून ठेवावे आधी पेरणीस जावे,Preta zhaiikuna thevave adhl peranisa zave,"Cover up the corpse, attend first to the sowing.",Everything must be left so that the sowing may be done exactly at the right time.
Marathi,पोट भरते पण डोळे भरत नाहीत,Pota bbarate pana dole bharata nabita,7%« ttomacA can be satiied lut the eyet cannot be.,
Marathi,मनांत मांडे पदरांत धोंडे,Manaiita mahde padaranta dbonde,"In the mind, jtagtry; in ike lap, ttonet. 457 vnlfjfYf Maui vase te svapni dise What dvtelU in the mind it teen in a dream. 458 jrnft% gSl fTTwf wtrt •il'fl Matitse kulle lavalyane lagata nahita Buttocke of earih if put on will not itay.",Strangers can never be fast bound to us like relations.
Marathi,या बोटाचा थुंका त्या बोटावर,Ya botatsa thufika tya botavara,3%e gpittle from this finger on that finger.,From a game like our
Marathi,सोन्याची सुरी नको घालू उरी,Sonyaci auri nako ghSlii mi,Do not itab younelf because you have a golden itife.,
Marathi,हसत मुखी सदा सुखी,Hasata mukhl sada sukhi,A laughing face U alwayt happy.,
Marathi,हसतील त्यांचे दात दिसतील,Hasatila tyantse data diaatila,They who laugh will show their teeth. 473 fTTTlf »M irt ft 5TW HatI ale anj pavitra hale When it came to our hand it became sacred.,We value a thing when it ia ours. Prov. xx.
Marathi,खंडीमध्ये पाव रती,KliaDdiDiadhye pava rati,An ounce »hort in a cart-load.,Why trouble abont so trivial a matter?
Marathi,कांदा आणि मर्दाचा बांधा,Kanda ani mardStsa baiidha,"The ottion is inform like a man, i e. stout and plump.",KonkaDaiita narala pbukata milatata Cocoa-nuts can he had for nothing in the KonJcanl This mtiat be nnderstood aa said by a person living in the Deccan where cocoa nuts are dear. Because things axe cheap in one place they are not necessarily so in another.
Marathi,सदा पिका सदा भिका,Sada pika sada bhika,"Perpetual crops, perpetual poverty.",However good the konbi's crops are he remainB poor because of bis habit of borrowing.
